-----------------------------
name,sizeAligned,version,offset,value3,messageId
EditServerMessages::BuildWorkspaceProgressUpdate,32,1,0x1A1EE00,0,0xC9FCDB71
EditServerMessages::BuildWorkspaceUploadReply,40,1,0x1A1EE70,0,0xF090AF8E
EditServerMessages::WorkspaceReadyReply,16,1,0x1A1F050,0,0x7D87DBEA
EditServerMessages::SaveWorkspaceSelectionToInventory,72,1,0x1A1F1D0,0,0x7E37F335
EditServerMessages::SaveWorkspaceSelectionToInventoryReply,64,1,0x1A1F240,0,0x439C3637
EditServerMessages::InventoryCreateItem,248,1,0x1A1F2B0,0,0xB5487205
EditServerMessages::InventoryDeleteItem,64,1,0x1A1F320,0,0x6F75848E
EditServerMessages::InventoryChangeItemName,88,1,0x1A1F510,0,0x690612C6
EditServerMessages::InventoryChangeItemState,72,1,0x1A1F580,0,0x6C202756
EditServerMessages::InventoryModifyItemThumbnailAssetId,88,1,0x1A1F5F0,0,0x2C2AE45E
EditServerMessages::InventoryModifyItemCapabilities,144,1,0x1A1F660,0,0xF93582DD
EditServerMessages::InventorySaveItem,152,1,0x1A1F6D0,0,0xA67D88F8
EditServerMessages::InventoryUpdateItemReply,120,1,0x1A1F740,0,0x144D39F8
EditServerMessages::InventoryItemUpload,96,1,0x1A1F7B0,0,0xF2E11A50
EditServerMessages::InventoryItemUploadReply,144,1,0x1A1F820,0,0xA25566F4
EditServerMessages::InventoryCreateListing,120,1,0x1A1F890,0,0xBE2C532E
EditServerMessages::InventoryCreateListingReply,80,1,0x1A1F900,0,0x4EA3D072
EditServerMessages::BeginEditServerSpawn,72,1,0x1A1F970,0,0xB5BFECD3
EditServerMessages::EditServerSpawnReady,128,1,0x1A1F9E0,0,0xB3623297
ClientRegionMessages::UserLogin,16,1,0x1C2B5F0,0,0x3902800A
ClientRegionMessages::UserLoginReply,80,1,0x1C2B770,0,0x30CDBED6
ClientRegionMessages::AddUser,104,1,0x1C2B7E0,0,0xF6B9093E
ClientRegionMessages::RemoveUser,16,1,0x1C2B850,0,0xA7FC621
ClientRegionMessages::RenameUser,40,1,0x1C2B9D0,0,0xC67C58F7
ClientRegionMessages::ChatMessageToServer,40,1,0x1C2BBB0,0,0xDDDEC199
ClientRegionMessages::ChatMessageToClient,40,1,0x1C2BD90,0,0x83642BD
ClientRegionMessages::VibrationPulseToClient,48,1,0x1C2BE00,0,0xD3809EB
ClientRegionMessages::SetAgentController,24,1,0x1C2BE70,0,0xD6F4CF23
ClientRegionMessages::TeleportTo,56,1,0x1C2BEE0,0,0x5C7CC1FC
ClientRegionMessages::TeleportToUri,32,1,0x1C2C0A0,0,0x2BDBDB56
ClientRegionMessages::TeleportToEditMode,40,1,0x1C2C200,0,0x706F63FB
ClientRegionMessages::DebugTimeChangeToServer,48,1,0x1C2C3D0,0,0x41FE0612
